ThreadCount,Properties,Properties2,Add,Resultado Suma,Multiply,Resultado Producto,Subtract,Resultado Resta,Divide,Total
200,0,0,340,4,464,4,531,3,421,1768
200,0,0,386,4,577,3,464,3,475,1914
200,0,0,458,3,632,3,455,3,469,2027
200,0,0,589,3,554,3,477,3,414,2046
200,0,0,569,3,536,3,464,3,412,1992
200,0,0,556,3,525,3,457,3,414,1964
200,0,0,551,3,520,3,455,3,416,1954
200,0,0,535,3,507,3,453,3,422,1928
200,0,0,470,3,473,3,468,3,434,1856
200,0,0,455,3,471,3,473,3,439,1850
200,0,0,442,3,476,3,476,3,448,1853
200,0,0,440,3,483,3,477,3,451,1862
200,0,0,443,3,486,3,480,3,448,1869
200,0,0,443,3,486,3,479,3,447,1867
200,0,0,445,3,483,3,474,3,446,1860
200,0,0,445,3,478,3,471,3,444,1850
200,0,0,436,3,466,3,465,3,440,1819
200,0,0,432,3,463,3,465,3,438,1810
200,0,0,429,3,461,3,463,3,436,1800
200,0,0,426,3,457,3,455,3,429,1779
200,0,0,428,3,449,3,443,3,413,1744
200,0,0,427,3,447,3,441,3,411,1738
200,0,0,424,3,440,3,434,3,404,1713
200,0,0,419,3,435,3,427,3,399,1691
200,0,0,410,3,424,3,418,3,393,1657
200,0,0,406,3,420,3,415,3,392,1645
200,0,0,401,3,416,3,413,3,391,1633
200,0,0,393,3,409,3,407,3,386,1607
200,0,0,390,3,407,3,404,3,384,1597
200,0,0,389,3,404,3,402,3,381,1587
200,0,0,387,3,402,3,398,3,377,1575
200,0,0,383,3,395,3,389,3,368,1547
200,0,0,380,3,392,3,386,3,366,1535
200,0,0,377,3,388,3,382,3,364,1523
200,0,0,374,3,385,3,380,3,361,1511
200,0,0,367,3,379,3,375,3,358,1489
200,0,0,365,3,376,3,373,3,357,1483
200,0,0,363,3,374,3,371,3,356,1475
200,0,0,361,3,372,3,370,3,353,1467
200,0,0,358,3,368,3,365,3,349,1451
200,0,0,356,3,366,3,363,3,347,1444
200,0,0,355,3,364,3,361,3,346,1436
200,0,0,353,3,362,3,359,3,344,1428
200,0,0,349,3,358,3,355,3,340,1413
200,0,0,348,3,356,3,353,3,339,1408
200,0,0,346,3,354,3,351,3,337,1400
200,0,0,345,3,353,3,350,3,337,1395
200,0,0,342,3,350,3,347,3,334,1385
200,0,0,341,3,349,3,346,3,333,1381
200,0,0,340,3,347,3,345,3,332,1376
200,0,0,339,3,345,3,344,3,331,1371
200,0,0,336,3,343,3,341,3,328,1359
200,0,0,335,3,342,3,339,3,326,1355
200,0,0,334,3,340,3,337,3,325,1347
200,0,0,333,3,338,3,336,3,323,1341
200,0,0,329,3,335,3,332,3,320,1328
200,0,0,328,3,333,3,331,3,319,1323
200,0,0,326,3,332,3,330,3,318,1318
200,0,0,325,3,330,3,329,3,317,1313
200,0,0,323,3,329,3,327,3,317,1307
200,0,0,322,3,328,3,327,3,317,1305
200,0,0,321,3,327,3,326,3,316,1303
200,0,0,321,3,327,3,326,3,316,1301
200,0,0,320,3,326,3,325,3,316,1299
200,0,0,320,3,326,3,325,3,316,1299
200,0,0,320,3,326,3,325,3,316,1297
200,0,0,319,3,326,3,324,3,316,1296
200,0,0,319,3,325,3,323,3,314,1292
200,0,0,318,3,324,3,322,3,313,1290
200,0,0,318,3,323,3,321,3,312,1286
200,0,0,317,3,322,3,321,3,312,1283
200,0,0,316,3,321,3,319,3,310,1276
200,0,0,315,3,320,3,318,3,309,1273
200,0,0,314,3,319,3,317,3,309,1269
200,0,0,313,3,318,3,317,3,308,1267
200,0,0,312,3,317,3,315,3,307,1262
200,0,0,311,3,316,3,315,3,307,1260
200,0,0,311,3,316,3,314,3,306,1258
200,0,0,310,3,315,3,314,3,305,1255
200,0,0,309,3,314,3,312,3,304,1250
200,0,0,309,3,313,3,311,3,303,1247
200,0,0,308,3,312,3,310,3,303,1245
200,0,0,307,3,311,3,310,3,302,1242
200,0,0,306,3,310,3,309,3,302,1239
200,0,0,306,3,310,3,309,3,302,1238
200,0,0,305,3,309,3,309,3,302,1237
200,0,0,305,3,309,3,309,3,302,1236
200,0,0,304,3,309,3,308,3,301,1234
200,0,0,304,3,309,3,308,3,300,1233
200,0,0,304,3,309,3,307,3,299,1230
200,0,0,304,3,308,3,307,3,299,1229
200,0,0,304,3,307,3,306,3,299,1227
200,0,0,303,3,307,3,306,3,299,1225
200,0,0,302,3,306,3,305,3,299,1224
200,0,0,302,3,306,3,305,3,299,1223
200,0,0,301,3,306,3,305,3,298,1222
200,0,0,302,3,306,3,304,3,298,1221
200,0,0,302,3,305,3,304,3,297,1220
200,0,0,301,3,305,3,304,3,297,1218
200,0,0,301,3,304,3,303,3,296,1215
200,0,0,301,3,304,3,302,3,296,1215
200,0,0,300,3,304,3,302,3,296,1214
200,0,0,300,3,303,3,302,3,297,1214
200,0,0,299,3,303,3,303,3,298,1215
200,0,0,299,3,304,3,304,3,298,1216
200,0,0,300,3,305,3,304,3,298,1218
200,0,0,300,3,305,3,304,3,298,1220
200,0,0,301,3,306,3,304,3,298,1220
200,0,0,302,3,305,3,304,3,297,1219
200,0,0,301,3,305,3,303,3,297,1217
200,0,0,301,3,304,3,303,3,297,1216
200,0,0,300,3,304,3,302,3,296,1214
200,0,0,300,3,303,3,302,3,296,1212
200,0,0,300,3,303,3,302,3,296,1212
200,0,0,299,3,303,3,302,3,296,1211
200,0,0,299,3,302,3,301,3,295,1209
200,0,0,299,3,302,3,300,3,295,1208
200,0,0,299,3,302,3,300,3,295,1207
200,0,0,298,3,302,3,300,3,295,1206
200,0,0,298,3,301,3,300,3,295,1205
200,0,0,298,3,301,3,300,3,295,1205
200,0,0,297,3,301,3,300,3,295,1205
200,0,0,297,3,301,3,300,3,296,1205
200,0,0,297,3,301,3,301,3,296,1206
200,0,0,297,3,302,3,301,3,296,1208
200,0,0,298,3,302,3,301,3,296,1208
